Year,ATS Total Power (kWh),ATS Emissions (kg CO2),EV Fraction,Clean Energy Fraction,outer_draw_id,inner_draw_id
2066,3184168284.4053597,2412703845.8110037,0.3782977372732178,1.0,30,14
2067,3278214735.201397,2364646213.3331423,0.40126489387592296,1.0,30,14
2068,3292014356.20395,2377883396.1780896,0.4256264291133388,1.0,30,14
2069,3240578437.9029613,2234161389.5189624,0.45146699829611486,1.0,30,14
2070,3512883590.7974916,2306850825.358724,0.4788763963156736,1.0,30,14
2071,3471570843.9633923,2259352625.81431,0.5079498696776825,1.0,30,14
2072,3450695827.9114175,2153598417.3896213,0.5387884474796569,1.0,30,14
2073,3441279735.599038,1997337235.9564357,0.5714992924828256,1.0,30,14
2074,3407370468.416727,1860856810.6932933,0.6061960734982206,1.0,30,14
2075,3640198031.798099,1846985467.6179516,0.6429993603810159,1.0,30,14
2076,3440067428.2945232,1590534373.2599502,0.6820370430057053,1.0,30,14
2077,3457011898.853292,1418879930.2500143,0.7234447756780386,1.0,30,14
2078,3638986811.808251,1302869505.3473234,0.7673664485280302,1.0,30,14
2079,3595469936.0532274,1081897494.867712,0.8139546875221118,1.0,30,14
2080,3407138190.5066595,790566636.2476792,0.8633713848319472,1.0,30,14
2081,3536035862.3520317,550034714.3558061,0.915788261402923,1.0,30,14
2082,3611929813.753089,274071240.06907815,0.9713874636772135,1.0,30,14
2083,3353176308.650342,111379906.10217796,1.0,1.0,30,14
2084,3263707735.5193677,108429291.80672474,1.0,1.0,30,14
2085,3447866790.1065435,113447802.08765842,1.0,1.0,30,14
2086,3271158635.547728,106516028.7720673,1.0,1.0,30,14
2087,3478736395.481047,113312002.35646717,1.0,1.0,30,14
2088,3493209373.2936735,111649054.46916416,1.0,1.0,30,14
2089,3535866957.1152697,115781524.93047917,1.0,1.0,30,14
2090,3410996493.4840302,110414203.88184683,1.0,1.0,30,14
2091,3375310852.1308503,110912143.67448993,1.0,1.0,30,14
2092,3496834819.6162233,115198606.54981327,1.0,1.0,30,14
2024,1760527.2380722708,2918897.5826345035,0.03182306625664263,0.7316875140962745,30,15
2025,396415224.32781035,325054316.51436645,0.03375510357614345,0.757135272137719,30,15
2026,869257249.4433905,853006405.9438245,0.035804438461310636,0.7834680915979519,30,15
2027,1362122623.4363961,1466162677.5252414,0.03797819226470421,0.8107167545094713,30,15
2028,1886037163.449421,2100507072.49534,0.04028391868939372,0.8389131134898263,30,15
2029,2363853299.175453,2742360168.3696604,0.04272963003775881,0.868090128976078,30,15
2030,2820755095.7113056,3356100948.4771986,0.045323825053903144,0.8982819077542556,30,15
2031,3230408739.51384,3918925609.2641163,0.04807551845643278,0.9295237428288523,30,15
2032,3586815773.6221514,4404633966.017659,0.05099427226422433,0.9618521546789609,30,15
2033,4047016527.436121,5016011120.574622,0.0540902290240385,0.9953049339492813,30,15
2034,4365142836.107769,5464427324.783692,0.05737414705544362,1.0,30,15
2035,4765557136.506891,5933601616.518497,0.06085743783552384,1.0,30,15
2036,5047634266.682488,6293539216.017615,0.06455220565328214,1.0,30,15
2037,5287568921.980569,6729676618.347471,0.0684712896715357,1.0,30,15
2038,5441295810.710314,6979028072.137847,0.07262830854246692,1.0,30,15
2039,5699237032.517502,7354896325.993362,0.07703770773186705,1.0,30,15
2040,5869501715.364119,7506886703.748516,0.08171480971652245,1.0,30,15
2041,5975397228.240093,7511614295.841044,0.08667586722917728,1.0,30,15
2042,5730016815.429964,7081497457.203213,0.09193811973609632,1.0,30,15
2043,5525902722.603924,6949139093.9494295,0.09751985334348545,1.0,30,15
2044,5517330630.563545,6589383416.80463,0.1034404643409418,1.0,30,15
